"internalid","trandate","itemunit","trackingnumber","item_internalid","item_shipquantity","shiptype"
"TOJP202508180036-005","20250901","1","450306852295","T2353511","1","ç≤êÏ"
"TOJP202508180039-005","20250901","2","450306852111","A25X1N21","15","ç≤êÏ"
"TOJP202508180039-005","20250901","2","450306852111","A1685N31","6","ç≤êÏ"
"TOJP202508180039-005","20250901","2","450306852111","A1684052","6","ç≤êÏ"
"TOJP202508180039-005","20250901","2","450306852111","A8060111","10","ç≤êÏ"
"TOJP202508180039-005","20250901","2","450306852111","A8060131","10","ç≤êÏ"
"TOJP202508180039-005","20250901","2","450306852111","A8060151","10","ç≤êÏ"
"TOJP202508180039-005","20250901","2","450306852111","A8743011","4","ç≤êÏ"
"TOJP202508180041-006","20250901","1","450306852166","A31X1011","10","ç≤êÏ"
"TOJP202508180039-006","20250901","1","450306852122","A8662N12","15","ç≤êÏ"
"TOJP202508250037-001","20250901","2","450306852203","A1259N11","10","ç≤êÏ"
"TOJP202508250037-001","20250901","2","450306852203","A1259N21","10","ç≤êÏ"
"TOJP202508250037-001","20250901","2","450306852203","A1246012","10","ç≤êÏ"
"TOJP202508250037-001","20250901","2","450306852203","A1217N11","10","ç≤êÏ"
"TOJP202508250037-001","20250901","2","450306852203","A1217N21","10","ç≤êÏ"
"TOJP202508250037-001","20250901","2","450306852203","A1217N51","2","ç≤êÏ"
"TOJP202508250037-001","20250901","2","450306852203","A1217N51","8","ç≤êÏ"
"TOJP202508250037-001","20250901","2","450306852203","A1217N61","10","ç≤êÏ"
"TOJP202508250037-001","20250901","2","450306852203","A1634N11","8","ç≤êÏ"
"TOJP202508250037-001","20250901","2","450306852203","A1634N21","3","ç≤êÏ"
"TOJP202508250037-001","20250901","2","450306852203","A1634N21","5","ç≤êÏ"
"TOJP202508250037-001","20250901","2","450306852203","A1634N31","8","ç≤êÏ"
"TOJP202508250037-001","20250901","2","450306852203","A1634N51","8","ç≤êÏ"
"TOJP202508250037-001","20250901","2","450306852203","A1634N61","8","ç≤êÏ"
"TOJP202508250037-001","20250901","2","450306852203","A1634NV1","8","ç≤êÏ"
"TOJP202508280002","20250901","1","450306852240","A1761521","1","ç≤êÏ"
"TOJP202508180043-005","20250901","1","450306852181","A1653N11","20","ç≤êÏ"
"TOJP202508180043-005","20250901","1","450306852181","A1653NG1","20","ç≤êÏ"
"TOJP202508180043-005","20250901","1","450306852181","A16450V1","15","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A8553N11-72","20","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A8553N71-72","20","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A88E2N11","15","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A88E2N12","15","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A8552N12","15","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A8552N22","10","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A8552N32","10","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A8552N62","10","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A8552N72","10","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A8552NV2","10","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A8552NQ2","10","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A8553N12","15","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A8553N22","10","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A8553N32","10","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A8553N62","10","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A8553N72","3","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A8553N72","7","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A8553NQ2","10","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A8553NV2","10","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A8436012","15","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A8436022","15","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A85G1N11","10","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A85G1N21","10","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A85G1N12","10","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A85G1N22","10","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A8662N21","10","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A8662061","10","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A86620V1","10","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A86620Q1","10","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A8662071","10","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A8663N11","15","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A8663N21","10","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A8663061","10","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A86630V1","10","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A86630Q1","10","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A8663071","10","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A85A1N11","10","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A85A1N12","10","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A8743011","4","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A87E1011","4","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A8891011","10","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A8891021","10","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A8891031","10","ç≤êÏ"
"TOJP202508250040-001","20250901","3","450306852214","A8895011","8","ç≤êÏ"
"TOJP202508180043-006","20250901","1","450306852192","A1645051","15","ç≤êÏ"
"TOJP202508280003","20250901","1","450306852251","A2435NA1","1","ç≤êÏ"
"TOJP202508180042-006","20250901","1","450306852170","T8170521","3","ç≤êÏ"
"TOJP202508250040-002","20250901","1","450306852225","A8662N12","15","ç≤êÏ"
"TOJP202508260039","20250901","1","450306852236","A1763521-99","1","ç≤êÏ"
"DL20250829000259","20250911","","","N23515F1","149",""
"TOJP202508260040","20250904","","","A1763521-99","1",""
"TOJP202508280008","20250904","","","A9129N31","1",""
"TOJP202508280008","20250904","","","A9129N31","2",""
"TOJP202508280008","20250904","","","A2435NA1","1",""
"TOJP202508280008","20250904","","","A17265Z1","3",""
"TOJP202508280008","20250904","","","A16371V2","3",""
"TOJP202508290017","20250904","","","A24370A1","1",""
"TOJP202508290017","20250904","","","A17A35A1","1",""
"TOJP202508290017","20250904","","","T2280511","1",""
"TOJP202508290017","20250904","","","A1782511","1",""
"TOJP202508290017","20250904","","","T2292511","1",""
"TOJP202508260001","20250904","","","A3388N11","11",""
"TOJP202508250038-001","20250904","","","99018000422","100",""
"TOJP202508250038-001","20250904","","","99018000032","30",""
"TOJP202508250038-001","20250904","","","99018000033","30",""
"TOJP202508250038-001","20250904","","","99018000034","10",""
"TOJP202508290018","20250904","","","A24340A1","1",""
"TOJP202508290018","20250904","","","T2351511","1",""
"TOJP202508250039-001","20250904","","","T2080511","1",""
"TOJP202508250039-001","20250904","","","A1754511","1",""
"TOJP202508250041-001","20250904","","","T9149N12","6",""
"TOJP202508250041-001","20250904","","","T9149N22","5",""
"TOJP202508250041-001","20250904","","","T9149N22","1",""
"TOJP202508250041-001","20250904","","","T9150N11","6",""
"TOJP202508250041-001","20250904","","","T9150N21","6",""
"TOJP202508250041-001","20250904","","","T2521511","6",""
"TOJP202508250041-001","20250904","","","T2521521","6",""
"TOJP202508250041-001","20250904","","","T8416521","3",""
"TOJP202508250041-001","20250904","","","T8410N26","7",""
"TOJP202508250041-001","20250904","","","T8W11521","7",""
"TOJP202508250041-001","20250904","","","T8170521","3",""
"TOJP202508250041-001","20250904","","","T8171321","3",""
"TOJP202508250041-001","20250904","","","T8030500","2",""
"TOJP202508250041-001","20250904","","","T87B0N11","15",""
"TOJP202508250041-001","20250904","","","T87B0N21","15",""
"TOJP202508250041-001","20250904","","","T87B1N12","15",""
"TOJP202508250041-001","20250904","","","T87B5N11","15",""
"TOJP202508250041-001","20250904","","","A17615Z1","1",""
"TOJP202508250041-001","20250904","","","A1722511","3",""
"TOJP202508250041-001","20250904","","","A1726511","2",""
"TOJP202508250041-001","20250904","","","N23515F1","1",""
"TOJP202508250041-001","20250904","","","D2425N11","6",""
"TOJP202508250041-001","20250904","","","D2426N12","6",""
"TOJP202508250041-001","20250904","","","D2342511","1",""
"TOJP202508250041-001","20250904","","","D2342511","2",""
"TOJP202508250041-001","20250904","","","D4112511","5",""
"TOJP202508250041-001","20250904","","","D4112511","1",""
"TOJP202508250041-001","20250904","","","D4112521","6",""
"TOJP202508250041-001","20250904","","","D2325512","3",""
"TOJP202508250041-001","20250904","","","D0731111","3",""
"TOJP202508250041-001","20250904","","","D0733111","2",""
"TOJP202508250041-001","20250904","","","D0719111","7",""
"TOJP202508250041-001","20250904","","","D0711111","7",""
"TOJP202508250041-001","20250904","","","D0730111","7",""
"TOJP202508250041-001","20250904","","","A83B51A1","3",""
"TOJP202508250041-001","20250904","","","A70A1N31","30",""
"TOJP202508250041-001","20250904","","","A70A1NA1","30",""
"TOJP202508250041-001","20250904","","","A84B1N11","30",""
"TOJP202508250041-001","20250904","","","A84B1N71","30",""
"TOJP202508250041-001","20250904","","","A83D1NA1","6",""
"TOJP202508250041-001","20250904","","","A83D1N21","6",""
"TOJP202508250041-001","20250904","","","A83D1N61","6",""
"TOJP202508250041-001","20250904","","","A83B65A1","4",""
"TOJP202508250041-001","20250904","","","A8339NA1","8",""
"TOJP202508250041-001","20250904","","","A8339N21","8",""
"TOJP202508250041-001","20250904","","","A83H20A1","6",""
"TOJP202508250041-001","20250904","","","A83D20A1","3",""
"TOJP202508250041-001","20250904","","","A83D20A1","3",""
"TOJP202508250042-001","20250904","","","A91B2NF1","5",""
"TOJP202508250042-001","20250904","","","A9231524","10",""
"TOJP202508250042-001","20250904","","","A91C5N21","3",""
"TOJP202508250042-001","20250904","","","A91C5N21","2",""
"TOJP202508250042-001","20250904","","","A91C5N11","5",""
"TOJP202508250042-001","20250904","","","A91C8N11","7",""
"TOJP202508250042-001","20250904","","","A91C8N21","7",""
"TOJP202508250042-001","20250904","","","A91C0N11-72","15",""
"TOJP202508250042-001","20250904","","","A91C6511","10",""
"TOJP202508250042-001","20250904","","","A91C6521","10",""
"TOJP202508250042-001","20250904","","","A9129N11","6",""
"TOJP202508250042-001","20250904","","","A9129N21","6",""
"TOJP202508250042-001","20250904","","","A9128NF1","5",""
"TOJP202508250042-001","20250904","","","B2557N11-72","15",""
"TOJP202508250042-001","20250904","","","A1902511","6",""
"TOJP202508250042-001","20250904","","","B25M1N11","6",""
"TOJP202508250042-001","20250904","","","B25M1N21","6",""
"TOJP202508250042-001","20250904","","","B25M3N11","4",""
"TOJP202508250042-001","20250904","","","B25M3N21","4",""
"TOJP202508250042-001","20250904","","","B2557N11","6",""
"TOJP202508250042-001","20250904","","","B2557N21","6",""
"TOJP202508250042-001","20250904","","","A25A0N11","15",""
"TOJP202508250042-001","20250904","","","A25A0021","15",""
"TOJP202508250042-001","20250904","","","A25A0031","15",""
"TOJP202508250042-001","20250904","","","A25A00V1","15",""
"TOJP202508250042-001","20250904","","","A25X1N21","15",""
"TOJP202508250042-001","20250904","","","B25M8N11","7",""
"TOJP202508250042-001","20250904","","","B25M8N21","7",""
"TOJP202508250042-001","20250904","","","B25M8N61","7",""
"TOJP202508250042-001","20250904","","","A2345541","5",""
"TOJP202508250042-001","20250904","","","A2683N41","5",""
"TOJP202508250042-001","20250904","","","A2688N41","15",""
"TOJP202508250042-001","20250904","","","A2669N21","10",""
"TOJP202508250042-001","20250904","","","A2669N11","10",""
"TOJP202508250042-001","20250904","","","A2668N11","10",""
"TOJP202508250042-001","20250904","","","A2668N21","10",""
"TOJP202508250042-001","20250904","","","A2668NB1","10",""
"TOJP202508250042-001","20250904","","","A2148N11","7",""
"TOJP202508250042-001","20250904","","","A2637N16","10",""
"TOJP202508250042-001","20250904","","","A2637N26","10",""
"TOJP202508250042-001","20250904","","","A2637NQ6","10",""
"TOJP202508250042-001","20250904","","","A2637NG6","10",""
"TOJP202508250042-001","20250904","","","A2637N56","10",""
"TOJP202508250042-001","20250904","","","B2633N71","16",""
"TOJP202508250042-001","20250904","","","B2668N71","25",""
"TOJP202508250042-001","20250904","","","B2148N71","11",""
"TOJP202508250042-001","20250904","","","A2147N11","10",""
"TOJP202508250042-001","20250904","","","A2147N21","10",""
"TOJP202508250042-001","20250904","","","A2147N31","10",""
"TOJP202508250042-001","20250904","","","A2147N61","10",""
"TOJP202508250042-001","20250904","","","A2147NV1","10",""
"TOJP202508250042-001","20250904","","","A2698N11","10",""
"TOJP202508250042-001","20250904","","","A2698N21","10",""
"TOJP202508250042-001","20250904","","","A2698N31","10",""
"TOJP202508250042-001","20250904","","","A2698N51","10",""
"TOJP202508250042-001","20250904","","","A2039N11","10",""
"TOJP202508250042-001","20250904","","","A2039N21","10",""
"TOJP202508250042-001","20250904","","","A2663N13","10",""
"TOJP202508250042-001","20250904","","","A2663N23","10",""
"TOJP202508250042-001","20250904","","","A121AN11","10",""
"TOJP202508250042-001","20250904","","","A121AN21","6",""
"TOJP202508250042-001","20250904","","","A121AN21","4",""
"TOJP202508250042-001","20250904","","","A121AN31","10",""
"TOJP202508250042-001","20250904","","","A121AN51","10",""
"TOJP202508250042-001","20250904","","","A2658N11","10",""
"TOJP202508250042-001","20250904","","","A2658N21","10",""
"TOJP202508250042-001","20250904","","","A2331N11","10",""
"TOJP202508250042-001","20250904","","","A2331N21","10",""
"TOJP202508250042-001","20250904","","","B2697NZ1","6",""
"TOJP202508250042-001","20250904","","","A25M2N11","10",""
"TOJP202508250042-001","20250904","","","A25M2N21","2",""
"TOJP202508250042-001","20250904","","","A25M2N21","8",""
"TOJP202508250042-001","20250904","","","A2735011","5",""
"TOJP202508250042-001","20250904","","","A2023111","6",""
"TOJP202508250039-002","20250904","","","T2353511","1",""
"TOJP202508250041-002","20250904","","","T87B4N11","15",""
"TOJP202508250043-003","20250904","","","A31X1011","8",""
"TOJP202508250043-003","20250904","","","A31X1011","2",""
"TOJP202508250043-003","20250904","","","A1645051","15",""
"TOJP202508250043-003","20250904","","","A1685N51","4",""
"TOJP202508250043-003","20250904","","","A1685N51","2",""
"TOJP202508250042-002","20250904","","","B2692N11","7",""
"TOJP202508250042-002","20250904","","","B2692N11","3",""
"TOJP202508250043-002","20250904","","","A3954N11","11",""
"TOJP202508250043-002","20250904","","","A3954N21","2",""
"TOJP202508250043-002","20250904","","","A3954N21","9",""
"TOJP202508250043-002","20250904","","","A3954N31","11",""
"TOJP202508250043-002","20250904","","","A3954N61","11",""
"TOJP202508250043-002","20250904","","","A3957N11","16",""
"TOJP202508250043-002","20250904","","","A3957N21","16",""
"TOJP202508250043-002","20250904","","","A3957N31","16",""
"TOJP202508250043-002","20250904","","","A3957N51","16",""
"TOJP202508250043-002","20250904","","","A3957NB1","1",""
"TOJP202508250043-002","20250904","","","A3957NB1","15",""
"TOJP202508250043-002","20250904","","","A3947N11","11",""
"TOJP202508250043-002","20250904","","","A3947N21","11",""
"TOJP202508250043-002","20250904","","","A3947N31","11",""
"TOJP202508250043-002","20250904","","","A3947N51","11",""
"TOJP202508250043-002","20250904","","","A3947N61","11",""
"TOJP202508250043-002","20250904","","","A3955N11","6",""
"TOJP202508250043-002","20250904","","","A3955N11","10",""
"TOJP202508250043-002","20250904","","","A3955N21","16",""
"TOJP202508250043-002","20250904","","","A3955N31","16",""
"TOJP202508250043-002","20250904","","","A3955NQ1","14",""
"TOJP202508250043-002","20250904","","","A3955NQ1","2",""
"TOJP202508250043-002","20250904","","","A6611Z21","6",""
"TOJP202508250043-002","20250904","","","A3994N11","1",""
"TOJP202508250043-002","20250904","","","A3994N11","15",""
"TOJP202508250043-002","20250904","","","A3994N21","16",""
"TOJP202508250043-002","20250904","","","A3994N31","16",""
"TOJP202508250043-002","20250904","","","A3994NQ1","16",""
"TOJP202508250043-002","20250904","","","A3968Z61","10",""
"TOJP202508250043-002","20250904","","","A3968Z21","8",""
"TOJP202508250043-002","20250904","","","A3968Z21","2",""
"TOJP202508250043-002","20250904","","","A3968Z11","10",""
"TOJP202508250043-002","20250904","","","A3959N11","10",""
"TOJP202508250043-002","20250904","","","A3959N21","10",""
"TOJP202508250043-002","20250904","","","A3959N31","10",""
"TOJP202508250043-002","20250904","","","A3959N51","10",""
"TOJP202508250043-002","20250904","","","A3959N61","10",""
"TOJP202508250043-002","20250904","","","A3937N11","6",""
"TOJP202508250043-002","20250904","","","A3937N21","6",""
"TOJP202508250043-002","20250904","","","A3331NZ1","6",""
"TOJP202508250043-002","20250904","","","A3331NB1","6",""
"TOJP202508250043-002","20250904","","","A3388N21","11",""
"TOJP202508250043-002","20250904","","","A3388N51","11",""
"TOJP202508250043-002","20250904","","","A3878N11","6",""
"TOJP202508250043-002","20250904","","","A3878N21","6",""
"TOJP202508250043-002","20250904","","","A3872N11","6",""
"TOJP202508250043-002","20250904","","","A3872N21","6",""
"TOJP202508250043-002","20250904","","","A3872NG1","6",""
"TOJP202508250043-002","20250904","","","A3872N51","6",""
"TOJP202508250043-002","20250904","","","A3871N11","5",""
"TOJP202508250043-002","20250904","","","A3871N11","1",""
"TOJP202508250043-002","20250904","","","A3871N21","5",""
"TOJP202508250043-002","20250904","","","A3871NQ1","5",""
"TOJP202508250043-002","20250904","","","A3871N61","5",""
"TOJP202508250043-002","20250904","","","A3874N11","2",""
"TOJP202508250043-002","20250904","","","A3874N11","3",""
"TOJP202508250043-002","20250904","","","A3874N21","8",""
"TOJP202508250043-002","20250904","","","A3874N31","8",""
"TOJP202508250043-002","20250904","","","A3874N61","8",""
"TOJP202508250043-002","20250904","","","A3874N81","8",""
"TOJP202508250043-002","20250904","","","A3062N11","6",""
"TOJP202508250043-002","20250904","","","A3062N21","6",""
"TOJP202508250043-002","20250904","","","A3040011","6",""
"TOJP202508250043-002","20250904","","","A3040021","6",""
"TOJP202508250043-002","20250904","","","A3040031","6",""
"TOJP202508250043-002","20250904","","","A3035011","8",""
"TOJP202508250043-002","20250904","","","A3035021","8",""
"TOJP202508250043-002","20250904","","","A3035031","6",""
"TOJP202508250043-002","20250904","","","A3035031","2",""
"TOJP202508250043-002","20250904","","","A3035Z51","8",""
"TOJP202508250043-002","20250904","","","A3028N14","6",""
"TOJP202508250043-002","20250904","","","A3028N24","6",""
"TOJP202508250043-002","20250904","","","A3028N54","6",""
"TOJP202508250043-002","20250904","","","A3028N34","6",""
"TOJP202508250043-002","20250904","","","A3012Z11","6",""
"TOJP202508250043-002","20250904","","","A3012Z21","6",""
"TOJP202508250043-002","20250904","","","A3105016","6",""
"TOJP202508250043-002","20250904","","","A31050A6","6",""
"TOJP202508250043-002","20250904","","","A3105036","6",""
"TOJP202508250043-002","20250904","","","A3105096","6",""
"TOJP202508250043-002","20250904","","","A3117011","6",""
"TOJP202508250043-002","20250904","","","A3117031","6",""
"TOJP202508250043-002","20250904","","","A3117091","6",""
"TOJP202508250043-002","20250904","","","A3119011","6",""
"TOJP202508250043-002","20250904","","","A3119031","6",""
"TOJP202508250043-002","20250904","","","A3119091","6",""
"TOJP202508250043-002","20250904","","","A31190A1","6",""
"TOJP202508250043-002","20250904","","","A3130011","3",""
"TOJP202508250043-002","20250904","","","A3130Z21","2",""
"TOJP202508250043-002","20250904","","","A3130031","2",""
"TOJP202508250043-002","20250904","","","A3130061","2",""
"TOJP202508250043-002","20250904","","","A3166011","5",""
"TOJP202508250043-002","20250904","","","A3136011","6",""
"TOJP202508250043-002","20250904","","","A3133N11","6",""
"TOJP202508250043-002","20250904","","","A3133N31","6",""
"TOJP202508250043-002","20250904","","","D5100010","6",""
"TOJP202508250043-002","20250904","","","A31X1021","10",""
"TOJP202508250043-002","20250904","","","A31X1031","10",""
"TOJP202508250043-002","20250904","","","A31X1061","10",""
"TOJP202508250043-002","20250904","","","A31X1091","10",""
"TOJP202508250043-002","20250904","","","A31X10Q1","10",""
"TOJP202508250043-002","20250904","","","A1638N11","10",""
"TOJP202508250043-002","20250904","","","A1695N11","6",""
"TOJP202508250043-002","20250904","","","A1637N11","10",""
"TOJP202508250043-002","20250904","","","A1637N21","3",""
"TOJP202508250043-002","20250904","","","A1637N21","7",""
"TOJP202508250043-002","20250904","","","A1637N31","10",""
"TOJP202508250043-002","20250904","","","A1637N51","10",""
"TOJP202508250043-002","20250904","","","A1637122","8",""
"TOJP202508250043-002","20250904","","","A1637152","8",""
"TOJP202508250043-002","20250904","","","A1636N11","10",""
"TOJP202508250043-002","20250904","","","A1636N21","10",""
"TOJP202508250043-002","20250904","","","A1636122","5",""
"TOJP202508250043-002","20250904","","","A1636122","3",""
"TOJP202508250043-002","20250904","","","A1636132","8",""
"TOJP202508250043-002","20250904","","","A1636162","8",""
"TOJP202508250043-002","20250904","","","A16361V2","8",""
"TOJP202508250043-002","20250904","","","A1339N11","10",""
"TOJP202508250043-002","20250904","","","A1653N11","20",""
"TOJP202508250043-002","20250904","","","A1645011","15",""
"TOJP202508250043-002","20250904","","","A1645021","11",""
"TOJP202508250043-002","20250904","","","A1645021","4",""
"TOJP202508250043-002","20250904","","","A16450V1","15",""
"TOJP202508250043-002","20250904","","","A1645061","15",""
"TOJP202508250043-002","20250904","","","A1383N21","5",""
"TOJP202508250043-002","20250904","","","A1383NV1","5",""
"TOJP202508250043-002","20250904","","","A1336011","3",""
"TOJP202508250043-002","20250904","","","A13360B1","3",""
"TOJP202508250043-002","20250904","","","A1654N11","10",""
"TOJP202508250043-002","20250904","","","A1654031","10",""
"TOJP202508250043-002","20250904","","","A1654061","10",""
"TOJP202508250043-002","20250904","","","A16540V1","10",""
"TOJP202508250043-002","20250904","","","A1685N11","6",""
"TOJP202508250043-002","20250904","","","A1685N21","6",""
"TOJP202508250043-002","20250904","","","A1684022","6",""
"TOJP202508250043-002","20250904","","","A1610012","10",""
"TOJP202508250043-002","20250904","","","A1610022","10",""
"TOJP202508250043-002","20250904","","","A1610032","10",""
"TOJP202508250043-002","20250904","","","A1610062","10",""
"TOJP202508250043-002","20250904","","","A16100V2","10",""
"TOJP202508250043-002","20250904","","","A1384NV1","4",""
"TOJP202508250043-002","20250904","","","A1657N21","6",""
"TOJP202508250043-002","20250904","","","A1657N11","6",""
"TOJP202508250043-002","20250904","","","A1657051","6",""
"TOJP202508250043-002","20250904","","","A1664N11","13",""
"TOJP202508250043-002","20250904","","","A1664N11","2",""
"TOJP202508250043-002","20250904","","","A1664N21","9",""
"TOJP202508250043-002","20250904","","","A1664N21","1",""
"TOJP202508250044-001","20250904","","","A1259N11","10",""
"TOJP202508250044-001","20250904","","","A1259N21","10",""
"TOJP202508250044-001","20250904","","","A1246012","10",""
"TOJP202508250044-001","20250904","","","A1217N11","3",""
"TOJP202508250044-001","20250904","","","A1217N11","7",""
"TOJP202508250044-001","20250904","","","A1217N21","10",""
"TOJP202508250044-001","20250904","","","A1217N51","10",""
"TOJP202508250044-001","20250904","","","A1217N61","1",""
"TOJP202508250044-001","20250904","","","A1217N61","9",""
"TOJP202508250044-001","20250904","","","A1634N11","10",""
"TOJP202508250044-001","20250904","","","A1634N21","10",""
"TOJP202508250044-001","20250904","","","A1634N31","10",""
"TOJP202508250044-001","20250904","","","A1634N51","10",""
"TOJP202508250044-001","20250904","","","A1634N61","10",""
"TOJP202508250044-001","20250904","","","A1634NV1","8",""
"TOJP202508250044-001","20250904","","","A1634NV1","2",""
"TOJP202508310001","20250902","2","450306852796","D0733111","1","ç≤êÏ"
"TOJP202508310001","20250902","2","450306852796","N23515F1","1","ç≤êÏ"
"TOJP202508310002","20250902","2","450306852800","D0733111","1","ç≤êÏ"
"TOJP202508310002","20250902","2","450306852800","N23515F1","1","ç≤êÏ"
"TOJP202508310003","20250902","2","450306852785","N23515F1","1","ç≤êÏ"
"TOJP202508310003","20250902","2","450306852785","D0733111","1","ç≤êÏ"
"TOJP202509020014","20250903","2","450306853043","99018000421","20","ç≤êÏ"
"TOJP202509020014","20250903","2","450306853043","99018000034","100","ç≤êÏ"
"TOJP202509020015","20250903","1","450306853054","99018000420","20","ç≤êÏ"
"TOJP202509020015","20250903","1","450306853054","99018000421","20","ç≤êÏ"
"TOJP202509020015","20250903","1","450306853054","99018000422","40","ç≤êÏ"
"TOJP202509020013","20250903","4","450306853032","99018000420","20","ç≤êÏ"
"TOJP202509020013","20250903","4","450306853032","99018000032","100","ç≤êÏ"
"TOJP202509020013","20250903","4","450306853032","99018000033","100","ç≤êÏ"
"TOJP202509020013","20250903","4","450306853032","99018000034","100","ç≤êÏ"
"TOJP202509020003","20250903","2","450306853076","99018000032","100","ç≤êÏ"
"TOJP202509020003","20250903","2","450306853076","99018000033","100","ç≤êÏ"
"TOJP202509020002","20250903","1","450306852973","99018000033","100","ç≤êÏ"
