"recordtype","tranid","trandate","item_internalid","item_quantity","LOT","‘qŒÉID","•iŽ¿‹æ•ªID"
"Other","DL20250501000141","20250722","A1689022","30","X202504241","1","1"
"Other","DL20250501000162","20250722","A1689022","4","X202504241","1","1"
"Other","DL20250501000132","20250722","A1689022","20","X202504241","1","1"
"Other","DL20250501000149","20250722","A1689022","17","X202504241","1","1"
"Other","DL20250501000108","20250722","A1689022","20","X202504241","1","1"
"Other","DL20250501000135","20250722","A1689022","30","X202504241","1","1"
"Other","DL20250501000121","20250722","A1689022","30","X202504241","1","1"
"Other","DL20250501000160","20250722","A1689022","20","X202504241","1","1"
"Other","DL20250501000156","20250722","A1689022","32","X202504241","1","1"
"Other","DL20250501000161","20250722","A1689022","32","X202504241","1","1"
"Other","DL20250501000136","20250722","A1689022","8","X202504241","1","1"
"Other","DL20250501000109","20250722","A1689022","20","X202504241","1","1"
"Other","DL20250501000168","20250722","A1689022","20","X202504241","1","1"
"Other","DL20250501000126","20250722","A1689022","20","X202504241","1","1"
"Other","DL20250501000150","20250722","A1689022","32","X202504241","1","1"
"Other","DL20250501000159","20250722","A1689022","32","X202504241","1","1"
"Other","DL20250501000145","20250722","A1689022","19","X202504241","1","1"
"Other","DL20250501000148","20250722","A1689022","20","X202504241","1","1"
"Other","DL20250501000152","20250722","A1689022","32","X202504241","1","1"
"Other","DL20250501000142","20250722","A1689022","30","X202504241","1","1"
"Other","DL20250501000111","20250722","A1689022","5","X202504241","1","1"
"Other","DL20250501000129","20250722","A1689022","10","X202504241","1","1"
"Other","DL20250514000022","20250718","A1689032","150","K202504176","1","9"
"Other","DL20250514000025","20250718","A1689032","150","K202504176","1","9"
"Other","DL20250514000213","20250722","A1689052","150","K202504177","1","9"
"Other","DL20250514000212","20250718","A1689032","149","K202504176","1","9"
"Other","DL20250514000211","20250722","A1689052","149","K202504177","1","9"
"Other","DL20250514000215","20250718","A1689032","150","K202504176","1","9"
"Other","DL20250514000217","20250718","A1689032","150","K202504176","1","9"
"Other","DL20250514000218","20250722","A1689052","150","K202504177","1","9"
"Other","DL20250514000220","20250718","A1689032","128","K202504176","1","9"
"Other","DL20250515000021","20250722","A1689052","150","K202504177","1","9"
"Other","DL20250515000025","20250722","A1689052","149","K202504177","1","9"
"Other","DL20250515000022","20250722","A1689052","150","K202504177","1","9"
"Other","DL20250515000030","20250718","A1689032","150","K202504176","1","9"
"Other","DL20250515000028","20250722","A1689052","47","K202504177","1","9"
"Other","DL20250515000034","20250718","A1689032","147","K202504176","1","9"
"Other","DL20250515000032","20250718","A1689032","150","K202504176","1","9"
"Other","DL20250515000036","20250718","A1689032","150","K202504176","1","9"
"Other","DL20250515000243","20250718","A1689032","149","K202504176","1","9"
"Other","DL20250515000242","20250722","A1689052","150","K202504177","1","9"
"Other","DL20250515000250","20250630","B81G5011","148","I202505091","1","4"
"Other","DL20250508000455","20250722","A1689022","23","X202504241","1","9"
"Other","DL20250518000012","20250625","A3958N31","30","K202505152","1","1"
"Other","DL20250518000015","20250626","A3958N11","20","K202505156","1","1"
"Other","DL20250518000017","20250625","A3958N31","7","K202505152","1","1"
"Other","DL20250518000020","20250626","A3958N11","20","K202505156","1","1"
"Other","DL20250518000022","20250626","A3958N11","30","K202505156","1","1"
"Other","DL20250518000026","20250626","A3958N11","20","K202505156","1","1"
"Other","DL20250518000024","20250626","A3958N11","20","K202505156","1","1"
"Other","DL20250518000028","20250626","A3958N11","20","K202505156","1","1"
"Other","DL20250519000149","20250626","A3958N11","2","K202505156","1","1"
"Other","DL20250520000029","20250625","A3958N31","34","K202505152","1","1"
"Other","DL20250520000165","20250626","A3958N11","20","K202505156","1","1"
"Other","DL20250520000163","20250625","A3958N31","20","K202505152","1","1"
"Other","DL20250520000170","20250626","A3958N11","20","K202505156","1","1"
"Other","DL20250520000171","20250626","A3958N11","20","K202505156","1","1"
"Other","DL20250520000172","20250626","A3958N11","20","K202505156","1","1"
"Other","DL20250521000040","20250625","A3958N31","18","K202505152","1","1"
"Other","DL20250521000038","20250625","A3958N31","20","K202505152","1","1"
"Other","DL20250521000464","20250625","A3958N31","20","K202505152","1","1"
"Other","DL20250521000467","20250625","A3958N31","20","K202505152","1","1"
"Other","DL20250521000473","20250625","A3958N31","20","K202505152","1","1"
"Other","DL20250521000470","20250625","A3958N31","20","K202505152","1","1"
"Other","DL20250521000476","20250625","A3958N31","20","K202505152","1","1"
"Other","DL20250521000481","20250626","A3958N11","20","K202505156","1","1"
"Other","DL20250521000479","20250625","A3958N31","20","K202505152","1","1"
"Other","DL20250521000482","20250625","A3958N31","3","K202505152","1","1"
"Other","DL20250521000487","20250626","A3958N11","20","K202505156","1","1"
"Other","DL20250521000484","20250626","A3958N11","20","K202505156","1","1"
"Other","DL20250521000485","20250625","A3958N31","20","K202505152","1","1"
"Other","DL20250521000491","20250625","A3958N31","20","K202505152","1","1"
"Other","DL20250521000488","20250625","A3958N31","20","K202505152","1","1"
"Other","DL20250521000494","20250625","A3958N31","8","K202505152","1","1"
"Other","DL20250521000496","20250625","A3958N31","20","K202505152","1","1"
"Other","DL20250521000490","20250626","A3871N61","5","K202505156","1","1"
"Other","DL20250521000490","20250626","A3958N11","15","K202505156","1","1"
"Other","DL20250521000493","20250626","A3871NQ1","3","K202505156","1","1"
"Other","DL20250521000493","20250626","A3958N11","6","K202505156","1","1"
"Other","DL20250521000498","20250625","A3958N31","20","K202505152","1","1"
"Other","DL20250521000499","20250626","A3958N11","20","K202505156","1","1"
"Other","DL20250521000500","20250626","A3958N11","20","K202505156","1","1"
"Other","DL20250521000502","20250626","A3958N11","20","K202505156","1","1"
"Other","DL20250521000503","20250626","A3958N11","19","K202505156","1","1"
"Other","DL20250521000505","20250626","A3958N11","19","K202505156","1","1"
"Other","DL20250521000507","20250626","A3958N11","20","K202505156","1","1"
"Other","DL20250521000508","20250626","A3958N11","20","K202505156","1","1"
"Other","DL20250521000497","20250626","A3958N11","20","K202505156","1","1"
"Other","DL20250515000163","20250722","A1689052","3","X202505151","1","9"
"Other","DL20250522000119","20250718","A1689012","26","X202505221","1","9"
"Other","DL20250528000023","20250703","B81G5011","150","I202505091","1","4"
"Other","DL20250528000025","20250703","B81G5011","149","I202505091","1","4"
"Other","DL20250528000028","20250703","B81G5011","149","I202505091","1","4"
"Other","DL20250528000027","20250703","B81G5011","53","I202505091","1","4"
"Other","DL20250528000252","20250703","B81G5011","149","I202505091","1","4"
"Other","DL20250528000256","20250703","B81G5011","150","I202505091","1","4"
"Other","DL20250518000002","20250626","A3958N11","2","K202505156","1","1"
"Other","DL20250518000002","20250626","A3958N11","2","K202505156","1","2"
"Other","DL20250518000030","20250626","A3958N11","19","K202505156","1","1"
"Other","DL20250518000029","20250626","A3958N11","8","K202505156","1","1"
"Other","DL20250521000495","20250626","A3958N11","19","K202505156","1","1"
"Other","DL20250522000118","20250718","A1689032","64","k202504176","1","9"
"Other","DL20250522000117","20250722","A1689022","3","X202504241","1","9"
"Other","DL20250601000236","20250717","A8553N12","3","X202505261","1","1"
"Other","DL20250527000171","20250717","A8553N12","848","X202505261","1","1"
"Other","DL20250601000233","20250715","A1761521","500","K202504242","1","1"
"Procure20250615","PPJP202412310362","20250620","A3040031","449","0001JP20250527010241","1","1"
"Procure20250615","PPJP202412310362","20250620","A3040031","1","0001JP20250527010241","1","2"
"Procure20250617","PPJP202504080377-002","20250624","A3134N11","1082","0001JP20250528010974","1","1"
"Procure20250617","PPJP202504080377-002","20250624","A3134N11","9","0001JP20250528010974","1","2"
"Procure20250617","PPJP202504080377-002","20250624","A3134N11","1","0001JP20250528010974","1","3"
"Other","DL20250604000301","20250624","A2435NA1","100","K202505082","1","1"
"Procure20250617","PPJP202504080377","20250620","A3134N11","424","0001JP20250528011031","1","1"
"Procure20250617","PPJP202504080377","20250620","A3134N11","4","0001JP20250528011031","1","2"
"Procure20250617","PPJP202504010198","20250626","A81950Z1","300","0001JP20250527011844","1","1"
"Procure20250617","PPJP202408270076","20250625","A2343113","75","0001JP20250527011844","1","1"
"Procure20250617","PPJP202503250200","20250626","A81950Z1","150","0001JP20250527011844","1","1"
"Procure20250617","PPJP202505230001","20250620","A1634N31","160","0001JP20250527011844","1","1"
"Procure20250617","PPJP202504010335","20250625","A3955N11","639","0001JP20250527011844","1","1"
"Procure20250617","PPJP202504010335","20250625","A3955N11","1","0001JP20250527011844","1","2"
"Procure20250617","PPJP202504150685-001","20250623","A81H6N11","236","0001JP20250527011844","1","1"
"Procure20250617","PPJP202504150685-001","20250623","A81H6N11","4","0001JP20250527011844","1","2"
"Procure20250617","PPJP202504080250-001","20250623","A2039N21","158","0001JP20250527011844","1","1"
"Procure20250617","PPJP202504080250-001","20250623","A2039N21","2","0001JP20250527011844","1","2"
"Procure20250617","PPJP202505190019-001","20250623","A3025015","400","0001JP20250527011844","1","1"
"Procure20250617","PPJP202504080211","20250623","A81H6N11","1040","0001JP20250527011844","1","1"
"Procure20250617","PPJP202505190065","20250620","A83B65A1","96","0001JP20250527011844","1","1"
"Procure20250617","PPJP202505190032","20250626","A86630V1","134","0001JP20250527011844","1","1"
"Procure20250617","PPJP202505190032","20250626","A86630V1","1","0001JP20250527011844","1","2"
"Procure20250617","PPJP202505060363","20250623","A2637NG6","599","0001JP20250527011844","1","1"
"Procure20250617","PPJP202505060363","20250623","A2637NG6","1","0001JP20250527011844","1","2"
"Procure20250617","PPJP202505060256","20250623","A3025015","200","0001JP20250527011844","1","1"
"Procure20250617","PPJP202504010485-002","20250623","A2664N11","180","0001JP20250527011844","1","1"
"Procure20250617","PPJP202504150686","20250625","A1614061","60","0001JP20250527011844","1","1"
"Procure20250617","PPJP202504010223","20250625","A81C5011","150","0001JP20250527011844","1","1"
"Procure20250617","PPJP202505230002","20250625","B2347121","120","0001JP20250527011844","1","1"
"Procure20250617","PPJP202503250197-005","20250625","A3937N21","40","0001JP20250527011844","1","1"
"Other","DL20250605000028","20250624","A1256022","20","K20250529A","1","1"
"Other","DL20250605000030","20250624","A1256022","12","K20250529A","1","1"
"Other","DL20250605000031","20250624","A1256022","20","K20250529A","1","1"
"Other","DL20250605000033","20250624","A1256022","20","K20250529A","1","1"
"Other","DL20250605000036","20250624","A1256022","20","K20250529A","1","1"
"Other","DL20250605000034","20250624","A1256022","20","K20250529A","1","1"
"Other","DL20250605000039","20250624","A1256022","20","K20250529A","1","1"
"Other","DL20250605000040","20250624","A1256022","20","K20250529A","1","1"
"Other","DL20250605000037","20250624","A1256022","20","K20250529A","1","1"
"Other","DL20250605000042","20250624","A1256022","20","K20250529A","1","1"
"Other","DL20250605000043","20250624","A1256022","20","K20250529A","1","1"
"Other","DL20250605000048","20250624","A1256022","20","K20250529A","1","1"
"Other","DL20250605000046","20250624","A1256022","20","K20250529A","1","1"
"Other","DL20250605000049","20250624","A1256022","20","K20250529A","1","1"
"Other","DL20250605000045","20250624","A1256022","20","K20250529A","1","1"
"Other","DL20250605000050","20250624","A1256022","20","K20250529A","1","1"
"Other","DL20250605000051","20250624","A1256022","20","K20250529A","1","1"
"Other","DL20250605000052","20250624","A1256022","20","K20250529A","1","1"
"Other","DL20250605000053","20250624","A1256022","20","K20250529A","1","1"
"Other","DL20250605000054","20250624","A1256022","20","K20250529A","1","1"
"Procure20250617","PPJP202502110170-001","20250626","A83880A1","180","0001JP20250527011844","1","1"
"Procure20250617","PPJP202503110018","20250625","A25A0021","150","0001JP20250527011844","1","1"
"Procure20250617","PPJP202505190100","20250626","A3062N21","200","0001JP20250527011844","1","1"
"Procure20250617","PPJP202504080233","20250626","A83880A1","60","0001JP20250527011844","1","1"
"Procure20250617","PPJP202504150649","20250626","A1336011","154","0001JP20250527011844","1","1"
"Procure20250617","PPJP202504150649","20250626","A1336011","2","0001JP20250527011844","1","2"
"Procure20250617","PPJP202505190102","20250626","E87B0N12","120","0001JP20250527011844","1","1"
"Procure20250617","PPJP202504220110-001","20250623","A1384N21","304","0001JP20250527011844","1","1"
"Other","DL20250605000320","20250624","A1256022","20","K20250529A","1","1"
"Other","DL20250605000324","20250624","A1256022","10","K20250529A","1","1"
"Other","DL20250605000324","20250624","A1256022","10","K20250529A","1","2"
"Procure20250627","PPJP202504220215-001","20250626","A85A1N22","180","0006JP20250603015778","1","1"
"Procure20250627","PPJP202504220210","20250626","A85A1N21","300","0006JP20250603015778","1","1"
"Procure20250627","PPJP202505060340","20250626","A81E5011","150","0006JP20250603015778","1","1"
"Procure20250627","PPJP202504080166","20250626","A8309N11","360","0006JP20250603015778","1","1"
"Procure20250627","PPJP202504080230","20250626","A8632022","298","0006JP20250603015778","1","1"
"Procure20250627","PPJP202504080230","20250626","A8632022","2","0006JP20250603015778","1","2"
"Procure20250627","PPJP202504080158","20250626","A81C6011","270","0006JP20250603015778","1","1"
"Procure20250627","PPJP202504220286","20250626","A8309N11","480","0006JP20250603015778","1","1"
"Procure20250627","PPJP202505130553","20250626","A8309N11","600","0006JP20250603015778","1","1"
"Procure20250627","PPJP202504150665","20250626","A8632022","150","0006JP20250603015778","1","1"
"Procure20250627","PPJP202407220034-003","20250626","A91C3511","56","0006JP20250603015778","1","1"
"Procure20250627","PPJP202407220034-003","20250626","A91C3511","4","0006JP20250603015778","1","2"
"Procure20250627","PPJP202504080149-001","20250626","A3959N21","2000","0006JP20250603015778","1","1"
"Procure20250620","PPJP202504080083-001","20250625","B2339N11","900","0001JP20250603016091","1","1"
"Procure20250620","PPJP202502180181","20250630","A2663N13","60","0001JP20250603016091","1","1"
"Procure20250620","PPJP202503250196-008","20250630","A3937N11","520","0001JP20250603016091","1","1"
"Procure20250620","PPJP202504220225-001","20250630","A1614031","120","0001JP20250603016091","1","1"
"Procure20250620","PPJP202504080095-002","20250624","T2351521","504","0001JP20250603016088","1","1"
"Procure20250620","PPJP202505270529-001","20250630","A83B51A1","18","0001JP20250603016091","1","1"
"Procure20250620","PPJP202504150671","20250630","T87B0N11","599","0001JP20250603016091","1","1"
"Procure20250620","PPJP202504150671","20250630","T87B0N11","1","0001JP20250603016091","1","2"
"Procure20250620","PPJP202504150650-001","20250630","A3040021","388","0001JP20250603016091","1","1"
"Procure20250620","PPJP202504150650-001","20250630","A3040021","2","0001JP20250603016091","1","2"
"Procure20250620","PPJP202504150602","20250630","A1637NV1","210","0001JP20250603016091","1","1"
"Procure20250620","PPJP202501140359-001","20250630","A1645N61","640","0001JP20250603016091","1","1"
"Procure20250620","PPJP202504150653-002","20250630","A3040031","15","0001JP20250603016091","1","1"
"Procure20250620","PPJP202412310201-001","20250630","A3948N31","200","0001JP20250603016091","1","1"
"Procure20250620","PPJP202504300005-001","20250630","A8052012","135","0001JP20250603016091","1","1"
"Procure20250620","PPJP202504080145","20250630","T8W11521","72","0001JP20250603016091","1","1"
"Procure20250620","PPJP202504300002-001","20250630","A8052021","300","0001JP20250603016091","1","1"
"Procure20250620","PPJP202505130547","20250701","A3004Z31","599","0001JP20250603016091","1","1"
"Procure20250620","PPJP202505130547","20250701","A3004Z31","1","0001JP20250603016091","1","2"
"Procure20250620","PPJP202505300001","20250630","A6611Z21","300","0001JP20250603016091","1","1"
"Procure20250620","PPJP202504300001","20250630","A8052011","600","0001JP20250603016091","1","1"
"Procure20250620","PPJP202504080073","20250630","T29E90J1","80","0001JP20250603016091","1","1"
"Procure20250620","PPJP202412120011","20250627","A2059N11","1858","0001JP20250603016089","1","1"
"Procure20250620","PPJP202412120011","20250627","A2059N11","2","0001JP20250603016089","1","2"
"Procure20250620","PPJP202504080095-001","20250623","T2351521","296","0001JP20250603016089","1","1"
"Procure20250620","PPJP202504220272","20250630","B2672111","149","0001JP20250603016091","1","1"
"Procure20250620","PPJP202504220272","20250630","B2672111","1","0001JP20250603016091","1","2"
"Procure20250620","PPJP202504150601","20250630","A1637N31","360","0001JP20250603016089","1","1"
"Procure20250620","PPJP202504080241","20250630","A1289N11","20","0001JP20250603016091","1","1"
"Procure20250620","PPJP202503110090","20250626","T2280511","3","0001JP20250603016089","1","1"
"Procure20250620","PPJP202505130546","20250630","B2672111","120","0001JP20250603016091","1","1"
"Procure20250620","PPJP202410100030","20250630","B2679N21","269","0001JP20250603016089","1","1"
"Procure20250620","PPJP202410100030","20250630","B2679N21","1","0001JP20250603016089","1","2"
"Procure20250620","PPJP202504010587-001","20250624","T2351511","460","0001JP20250530004996","1","1"
"Procure20250620","PPJP202504010587-002","20250624","T2351511","500","0001JP20250530004997","1","1"
"Procure20250620","PPJP202504010201","20250630","A1610022","300","0001JP20250603016091","1","1"
"Procure20250620","PPJP202505190047","20250630","A1616011","50","0001JP20250603016089","1","3"
"Procure20250620","PPJP202504080210","20250630","A81H5N11","1519","0001JP20250603016091","1","1"
"Procure20250620","PPJP202504080210","20250630","A81H5N11","1","0001JP20250603016091","1","2"
"Procure20250620","PPJP202410220056","20250627","A3171N11","510","0001JP20250603016089","1","1"
"Procure20250620","PPJP202504150613-002","20250630","A1339N11","20","0001JP20250603016089","1","1"
"Procure20250620","PPJP202410220259","20250630","B2672111","30","0001JP20250603016091","1","1"
"Procure20250620","PPJP202504220260","20250625","A2503018","320","0001JP20250603016089","1","1"
"Procure20250620","PPJP202504220108","20250630","T29E7031","360","0001JP20250603016091","1","1"
"Procure20250620","PPJP202410160014","20250630","B2679N21","30","0001JP20250603016089","1","1"
"Procure20250620","PPJP202505190054","20250630","A2637NQ6","480","0001JP20250603016091","1","1"
"Procure20250620","PPJP202503110086","20250627","A3994N11","1000","0001JP20250603016089","1","1"
"Procure20250620","PPJP202412310031","20250623","A8553N12","4590","0001JP20250603016091","1","1"
"Procure20250620","PPJP202504080109-001","20250627","A25X1N21","96","0001JP20250603016089","1","1"
"Procure20250620","PPJP202505060373","20250630","A2637NQ6","720","0001JP20250603016091","1","1"
"Procure20250620","PPJP202503250197-007","20250627","A3937N21","280","0001JP20250603016089","1","1"
"Procure20250620","PPJP202504150655","20250630","B2672111","150","0001JP20250603016091","1","1"
"Procure20250620","PPJP202504010185-001","20250627","A3878N21","2000","0001JP20250603016089","1","1"
"Procure20250620","PPJP202504150629","20250630","A1645051","256","0001JP20250603016091","1","1"
"Procure20250620","PPJP202501070235","20250630","A6611Z21","799","0001JP20250603016089","1","1"
"Procure20250620","PPJP202501070235","20250630","A6611Z21","1","0001JP20250603016089","1","2"
"Procure20250620","PPJP202504270132","20250630","A1645051","128","0001JP20250603016091","1","1"
"Procure20250620","PPJP202502180192","20250630","A1636NV3","419","0001JP20250603016089","1","1"
"Procure20250620","PPJP202502180192","20250630","A1636NV3","1","0001JP20250603016089","1","2"
"Procure20250620","PPJP202504270257-001","20250630","T8W11521","120","0001JP20250603016091","1","1"
"Procure20250620","PPJP202504080151","20250627","A1384N11","574","0001JP20250603016089","1","1"
"Procure20250620","PPJP202504080151","20250627","A1384N11","2","0001JP20250603016089","1","2"
"Procure20250620","PPJP202504080145-001","20250630","T8W11521","144","0001JP20250603016091","1","1"
"Procure20250620","PPJP202412310159","20250630","A6611Z21","500","0001JP20250603016089","1","1"
"Procure20250620","PPJP202504270145-001","20250630","A9129N11","226","0001JP20250603016091","1","1"
"Procure20250620","PPJP202504270145-001","20250630","A9129N11","2","0001JP20250603016091","1","2"
"Procure20250620","PPJP202503250246","20250620","A1388N11","7508","0001JP20250604008729","1","1"
"Procure20250620","PPJP202503250246","20250620","A1388N11","4","0001JP20250604008729","1","2"
"Procure20250620","PPJP202504150626","20250627","A3955N21","600","0001JP20250603016089","1","1"
"Procure20250620","PPJP202506030001-001","20250626","A2438NA1","983","0001JP20250603016091","1","1"
"Procure20250620","PPJP202506030001-001","20250626","A2438NA1","25","0001JP20250603016091","1","2"
"Procure20250620","PPJP202501070210-003","20250620","A1722511","521","0001JP20250604008729","1","1"
"Procure20250620","PPJP202501070210-003","20250620","A1722511","3","0001JP20250604008729","1","2"
"Procure20250620","PPJP202504010338","20250625","A3954N11","1500","0001JP20250603016089","1","1"
"Procure20250620","PPJP202506030001","20250626","A2438NA1","692","0001JP20250603016091","1","1"
"Procure20250620","PPJP202503030001","20250620","A1388N21","47","0001JP20250604008729","1","1"
"Procure20250620","PPJP202503030001","20250620","A1388N21","1","0001JP20250604008729","1","2"
"Procure20250620","PPJP202504220276-001","20250627","A3955N11","1560","0001JP20250603016089","1","1"
"Procure20250620","PPJP202503180172","20250620","A1388NV1","24","0001JP20250604008729","1","1"
"Procure20250620","PPJP202504010380-001","20250627","A2663N13","2640","0001JP20250603016089","1","1"
"Procure20250620","PPJP202501070210-004","20250620","A1722511","2","0001JP20250604008729","1","1"
"Procure20250620","PPJP202504220199-001","20250630","T87B0N11","240","0001JP20250603016089","1","1"
"Procure20250620","PPJP202504080154","20250620","A1388N11","5016","0001JP20250604008729","1","1"
"Procure20250620","PPJP202505060248-001","20250630","A1637NV1","300","0001JP20250603016089","1","1"
"Procure20250620","PPJP202411050179-001","20250620","A1754511","20","0001JP20250604008729","1","1"
"Procure20250620","PPJP202505060398-001","20250630","A3955N31","920","0001JP20250603016089","1","1"
"Procure20250620","PPJP202410150077-004","20250620","A1754511","210","0001JP20250604008729","1","1"
"Procure20250620","PPJP202504270188-002","20250627","A31X1021","24","0001JP20250603016089","1","1"
"Procure20250620","PPJP202505200009-003","20250620","A1761521","69","0001JP20250527011837","1","1"
"Procure20250620","PPJP202505270484-001","20250627","A3062N21","20","0001JP20250603016089","1","1"
"Procure20250620","PPJP202504010189-001","20250627","A3878N21-99","450","0001JP20250603016089","1","7"
"Procure20250620","PPJP202502130028","20250627","A1237N22","1509","0001JP20250527011837","1","1"
"Procure20250620","PPJP202502130028","20250627","A1237N22","3","0001JP20250527011837","1","2"
"Procure20250622","PPJP202504010387","20250627","A3035011","733","0001JP20250530005039","1","1"
"Procure20250622","PPJP202504010387","20250627","A3035011","2","0001JP20250530005039","1","2"
"Procure20250622","PPJP202501140365","20250626","A2147N61","600","0001JP20250530005039","1","1"
"Procure20250620","PPJP202504150599","20250626","A1249N61","72","0001JP20250527011837","1","1"
"Procure20250622","PPJP202504080392-003","20250624","T8170521","528","0001JP20250530005039","1","1"
"Procure20250622","PPJP202504150632","20250626","A1384NV1","207","0001JP20250530005039","1","1"
"Procure20250622","PPJP202504150632","20250626","A1384NV1","1","0001JP20250530005039","1","2"
"Procure20250620","PPJP202504080129","20250626","A1249N61","216","0001JP20250527011837","1","1"
"Procure20250622","PPJP202505130593-001","20250626","A1653N61","80","0001JP20250530005039","1","1"
"Procure20250622","PPJP202504080245-001","20250626","A3040011","60","0001JP20250530005039","1","1"
"Procure20250620","PPJP202504010348","20250626","A1249N61","408","0001JP20250527011837","1","1"
"Procure20250622","PPJP202504220119-001","20250620","A1637N21","239","0001JP20250530005039","1","1"
"Procure20250622","PPJP202504220119-001","20250620","A1637N21","1","0001JP20250530005039","1","2"
"Procure20250622","PPJP202504220205-001","20250626","A2039N21","159","0001JP20250530005039","1","1"
"Procure20250622","PPJP202504220205-001","20250626","A2039N21","1","0001JP20250530005039","1","2"
"Procure20250620","PPJP202504220149","20250626","A1249N61","312","0001JP20250527011837","1","1"
"Procure20250622","PPJP202504080241-002","20250625","A1289N11","300","0001JP20250530005039","1","1"
"Procure20250622","PPJP202504270226","20250626","A3117031","64","0001JP20250530005039","1","1"
"Procure20250620","PPJP202503180172-002","20250627","A1388NV1","1080","0001JP20250527011837","1","1"
"Procure20250622","PPJP202504010379-001","20250626","A2668N11","400","0001JP20250530005039","1","1"
"Procure20250622","PPJP202504080075","20250626","A1383N21","499","0001JP20250530005039","1","1"
"Procure20250622","PPJP202504080075","20250626","A1383N21","1","0001JP20250530005039","1","2"
"Procure20250622","PPJP202504010323","20250626","A91C5N21","60","0001JP20250530005039","1","1"
"Procure20250620","PPJP202504150576-002","20250702","A1257011","1692","0001JP20250527011837","1","3"
"Procure20250622","PPJP202504150556-001","20250626","A1383N21","20","0001JP20250530005039","1","1"
"Procure20250622","PPJP202504150612","20250623","A2544N21","84","0001JP20250530005039","1","1"
"Procure20250620","PPJP202503030001-001","20250623","A1388N21","9940","0001JP20250527011837","1","1"
"Procure20250620","PPJP202503030001-001","20250623","A1388N21","20","0001JP20250527011837","1","2"
"Procure20250622","PPJP202504150613-001","20250623","A1339N11","320","0001JP20250530005039","1","1"
"Procure20250622","PPJP202504080147","20250623","A3968Z11","560","0001JP20250530005039","1","1"
"Procure20250622","PPJP202504150681-001","20250623","A1277011","18","0001JP20250530005039","1","1"
"Procure20250622","PPJP202504080217","20250623","A3117011","832","0001JP20250530005039","1","1"
"Procure20250622","PPJP202501140117-003","20250625","T8442522","90","0001JP20250530005039","1","1"
"Procure20250622","PPJP202504150572","20250626","T87B1N12","240","0001JP20250530005039","1","1"
"Procure20250622","PPJP202503250235","20250623","A1339N11","460","0001JP20250530005039","1","1"
