荷主ID,荷主名,倉庫ID,倉庫名,ブロックID,ブロック名称,ブロック略称,列（段）,連（列）,段（連）,業務区分,引当条件,取引先名,ロケバーコード,ロケ,梱包形態ID,梱包形態名称,ハイネス
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,030,12,卸,指定した業態に優先して取り置く,,*29000103012*,B-001-030-12,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,030,12,卸,指定した業態に優先して取り置く,,*29000203012*,B-002-030-12,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,030,12,卸,指定した業態に優先して取り置く,,*29000303012*,B-003-030-12,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,030,13,卸,指定した業態に優先して取り置く,,*29000103013*,B-001-030-13,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,030,13,卸,指定した業態に優先して取り置く,,*29000203013*,B-002-030-13,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,030,13,卸,指定した業態に優先して取り置く,,*29000303013*,B-003-030-13,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,030,14,卸,指定した業態に優先して取り置く,,*29000103014*,B-001-030-14,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,030,14,卸,指定した業態に優先して取り置く,,*29000203014*,B-002-030-14,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,030,14,卸,指定した業態に優先して取り置く,,*29000303014*,B-003-030-14,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,030,15,卸,指定した業態に優先して取り置く,,*29000103015*,B-001-030-15,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,030,15,卸,指定した業態に優先して取り置く,,*29000203015*,B-002-030-15,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,030,15,卸,指定した業態に優先して取り置く,,*29000303015*,B-003-030-15,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,030,16,卸,指定した業態に優先して取り置く,,*29000103016*,B-001-030-16,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,030,16,卸,指定した業態に優先して取り置く,,*29000203016*,B-002-030-16,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,030,16,卸,指定した業態に優先して取り置く,,*29000303016*,B-003-030-16,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,030,17,卸,指定した業態に優先して取り置く,,*29000103017*,B-001-030-17,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,030,17,卸,指定した業態に優先して取り置く,,*29000203017*,B-002-030-17,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,030,17,卸,指定した業態に優先して取り置く,,*29000303017*,B-003-030-17,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,030,18,卸,指定した業態に優先して取り置く,,*29000103018*,B-001-030-18,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,030,18,卸,指定した業態に優先して取り置く,,*29000203018*,B-002-030-18,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,030,18,卸,指定した業態に優先して取り置く,,*29000303018*,B-003-030-18,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,030,19,卸,指定した業態に優先して取り置く,,*29000103019*,B-001-030-19,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,030,19,卸,指定した業態に優先して取り置く,,*29000203019*,B-002-030-19,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,030,19,卸,指定した業態に優先して取り置く,,*29000303019*,B-003-030-19,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,030,20,卸,指定した業態に優先して取り置く,,*29000103020*,B-001-030-20,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,030,20,卸,指定した業態に優先して取り置く,,*29000203020*,B-002-030-20,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,030,20,卸,指定した業態に優先して取り置く,,*29000303020*,B-003-030-20,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,030,21,卸,指定した業態に優先して取り置く,,*29000103021*,B-001-030-21,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,030,21,卸,指定した業態に優先して取り置く,,*29000203021*,B-002-030-21,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,030,21,卸,指定した業態に優先して取り置く,,*29000303021*,B-003-030-21,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,030,22,卸,指定した業態に優先して取り置く,,*29000103022*,B-001-030-22,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,030,22,卸,指定した業態に優先して取り置く,,*29000203022*,B-002-030-22,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,030,22,卸,指定した業態に優先して取り置く,,*29000303022*,B-003-030-22,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,030,23,卸,指定した業態に優先して取り置く,,*29000103023*,B-001-030-23,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,030,23,卸,指定した業態に優先して取り置く,,*29000203023*,B-002-030-23,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,030,23,卸,指定した業態に優先して取り置く,,*29000303023*,B-003-030-23,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,030,24,卸,指定した業態に優先して取り置く,,*29000103024*,B-001-030-24,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,030,24,卸,指定した業態に優先して取り置く,,*29000203024*,B-002-030-24,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,030,24,卸,指定した業態に優先して取り置く,,*29000303024*,B-003-030-24,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,030,25,卸,指定した業態に優先して取り置く,,*29000103025*,B-001-030-25,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,030,25,卸,指定した業態に優先して取り置く,,*29000203025*,B-002-030-25,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,030,25,卸,指定した業態に優先して取り置く,,*29000303025*,B-003-030-25,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,030,26,卸,指定した業態に優先して取り置く,,*29000103026*,B-001-030-26,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,030,26,卸,指定した業態に優先して取り置く,,*29000203026*,B-002-030-26,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,030,26,卸,指定した業態に優先して取り置く,,*29000303026*,B-003-030-26,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,030,27,卸,指定した業態に優先して取り置く,,*29000103027*,B-001-030-27,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,030,27,卸,指定した業態に優先して取り置く,,*29000203027*,B-002-030-27,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,030,27,卸,指定した業態に優先して取り置く,,*29000303027*,B-003-030-27,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,031,01,卸,指定した業態に優先して取り置く,,*29000103101*,B-001-031-01,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,031,01,卸,指定した業態に優先して取り置く,,*29000203101*,B-002-031-01,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,031,01,卸,指定した業態に優先して取り置く,,*29000303101*,B-003-031-01,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,031,02,卸,指定した業態に優先して取り置く,,*29000103102*,B-001-031-02,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,031,02,卸,指定した業態に優先して取り置く,,*29000203102*,B-002-031-02,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,031,02,卸,指定した業態に優先して取り置く,,*29000303102*,B-003-031-02,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,031,03,卸,指定した業態に優先して取り置く,,*29000103103*,B-001-031-03,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,031,03,卸,指定した業態に優先して取り置く,,*29000203103*,B-002-031-03,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,031,03,卸,指定した業態に優先して取り置く,,*29000303103*,B-003-031-03,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,031,04,卸,指定した業態に優先して取り置く,,*29000103104*,B-001-031-04,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,031,04,卸,指定した業態に優先して取り置く,,*29000203104*,B-002-031-04,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,031,04,卸,指定した業態に優先して取り置く,,*29000303104*,B-003-031-04,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,031,05,卸,指定した業態に優先して取り置く,,*29000103105*,B-001-031-05,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,031,05,卸,指定した業態に優先して取り置く,,*29000203105*,B-002-031-05,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,031,05,卸,指定した業態に優先して取り置く,,*29000303105*,B-003-031-05,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,031,06,卸,指定した業態に優先して取り置く,,*29000103106*,B-001-031-06,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,031,06,卸,指定した業態に優先して取り置く,,*29000203106*,B-002-031-06,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,031,06,卸,指定した業態に優先して取り置く,,*29000303106*,B-003-031-06,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,031,09,卸,指定した業態に優先して取り置く,,*29000103109*,B-001-031-09,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,031,09,卸,指定した業態に優先して取り置く,,*29000203109*,B-002-031-09,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,031,09,卸,指定した業態に優先して取り置く,,*29000303109*,B-003-031-09,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,031,10,卸,指定した業態に優先して取り置く,,*29000103110*,B-001-031-10,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,031,10,卸,指定した業態に優先して取り置く,,*29000203110*,B-002-031-10,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,031,10,卸,指定した業態に優先して取り置く,,*29000303110*,B-003-031-10,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,031,11,卸,指定した業態に優先して取り置く,,*29000103111*,B-001-031-11,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,031,11,卸,指定した業態に優先して取り置く,,*29000203111*,B-002-031-11,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,031,11,卸,指定した業態に優先して取り置く,,*29000303111*,B-003-031-11,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,031,12,卸,指定した業態に優先して取り置く,,*29000103112*,B-001-031-12,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,031,12,卸,指定した業態に優先して取り置く,,*29000203112*,B-002-031-12,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,031,12,卸,指定した業態に優先して取り置く,,*29000303112*,B-003-031-12,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,031,14,卸,指定した業態に優先して取り置く,,*29000103114*,B-001-031-14,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,031,14,卸,指定した業態に優先して取り置く,,*29000203114*,B-002-031-14,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,031,14,卸,指定した業態に優先して取り置く,,*29000303114*,B-003-031-14,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,031,15,卸,指定した業態に優先して取り置く,,*29000103115*,B-001-031-15,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,031,15,卸,指定した業態に優先して取り置く,,*29000203115*,B-002-031-15,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,031,15,卸,指定した業態に優先して取り置く,,*29000303115*,B-003-031-15,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,031,16,卸,指定した業態に優先して取り置く,,*29000103116*,B-001-031-16,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,031,16,卸,指定した業態に優先して取り置く,,*29000203116*,B-002-031-16,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,031,16,卸,指定した業態に優先して取り置く,,*29000303116*,B-003-031-16,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,031,17,卸,指定した業態に優先して取り置く,,*29000103117*,B-001-031-17,3,ケース,H
